conflict_id,link_id_a,link_id_b,device_class,conflict_type,min_frequency_separation_khz,min_spatial_separation_m,hard_constraint,reason,source
CF-0001,LK-0001,LK-0002,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0002,LK-0001,LK-0004,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0003,LK-0001,LK-0006,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0004,LK-0001,LK-0007,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0005,LK-0001,LK-0009,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0006,LK-0001,LK-0011,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0007,LK-0001,LK-0012,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0008,LK-0001,LK-0013,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0009,LK-0001,LK-0014,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0010,LK-0001,LK-0015,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0011,LK-0001,LK-0017,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0012,LK-0001,LK-0018,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0013,LK-0001,LK-0020,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0014,LK-0001,LK-0021,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0015,LK-0001,LK-0023,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0016,LK-0001,LK-0025,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0017,LK-0001,LK-0026,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0018,LK-0001,LK-0029,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0019,LK-0001,LK-0030,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0020,LK-0001,LK-0031,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0021,LK-0001,LK-0032,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0022,LK-0001,LK-0033,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0023,LK-0001,LK-0034,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0024,LK-0001,LK-0035,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0025,LK-0001,LK-0036,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0026,LK-0001,LK-0037,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0027,LK-0001,LK-0038,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0028,LK-0001,LK-0039,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0029,LK-0001,LK-0042,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0030,LK-0001,LK-0044,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0031,LK-0001,LK-0045,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0032,LK-0001,LK-0046,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0033,LK-0001,LK-0056,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0034,LK-0001,LK-0059,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0035,LK-0001,LK-0062,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0036,LK-0001,LK-0064,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0037,LK-0001,LK-0069,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0038,LK-0001,LK-0070,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0039,LK-0001,LK-0071,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0040,LK-0001,LK-0076,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0041,LK-0001,LK-0077,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0042,LK-0001,LK-0083,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0043,LK-0001,LK-0087,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0044,LK-0001,LK-0088,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0045,LK-0001,LK-0089,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0046,LK-0001,LK-0093,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0047,LK-0001,LK-0095,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0048,LK-0001,LK-0098,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0049,LK-0001,LK-0100,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0050,LK-0001,LK-0102,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0051,LK-0001,LK-0107,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0052,LK-0001,LK-0110,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0053,LK-0001,LK-0112,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0054,LK-0001,LK-0115,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0055,LK-0001,LK-0116,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0056,LK-0001,LK-0120,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0057,LK-0001,LK-0121,HF,ADJACENT_CHANNEL_NEAR_PATH,3.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0058,LK-0001,LK-0226,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0059,LK-0001,LK-0252,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0060,LK-0001,LK-0255,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0061,LK-0001,LK-0288,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0062,LK-0001,LK-0289,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0063,LK-0001,LK-0294,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0064,LK-0001,LK-0312,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0065,LK-0001,LK-0313,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0066,LK-0001,LK-0374,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0067,LK-0001,LK-0375,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0068,LK-0001,LK-0379,HF,SHARED_NODE,3.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
